x-coord,y-coord,z-coord
525544.75,7698389.86,-230.00
525573.45,7698348.38,-230.00
525579.45,7698339.86,-230.00
525593.27,7698320.03,-230.00
525614.26,7698289.86,-230.00
525623.45,7698276.51,-230.00
525649.16,7698239.86,-230.00
525673.45,7698204.91,-230.00
525684.10,7698189.86,-230.00
525709.18,7698154.12,-230.00
525719.17,7698139.86,-230.00
525723.45,7698133.69,-230.00
525754.48,7698089.86,-230.00
525773.45,7698062.84,-230.00
525789.90,7698039.86,-230.00
525823.45,7697992.67,-230.00
525824.62,7697991.04,-230.00
517103.90,7693359.40,-240.00
517113.32,7693389.86,-240.00
517123.45,7693422.48,-240.00
517128.82,7693439.86,-240.00
517131.16,7693447.58,-240.00
517144.20,7693489.86,-240.00
517153.25,7693519.66,-240.00
517159.46,7693539.86,-240.00
517173.45,7693586.06,-240.00
517174.59,7693589.86,-240.00
517175.07,7693591.48,-240.00
517189.58,7693639.86,-240.00
517196.32,7693662.73,-240.00
517204.42,7693689.86,-240.00
517217.27,7693733.68,-240.00
517219.11,7693739.86,-240.00
517223.45,7693754.75,-240.00
517233.62,7693789.86,-240.00
517237.64,7693804.05,-240.00
517247.95,7693839.86,-240.00
517257.53,7693873.95,-240.00
517262.08,7693889.86,-240.00
517273.45,7693930.64,-240.00
517276.00,7693939.86,-240.00
517286.25,7693977.05,-240.00
517289.69,7693989.86,-240.00
517296.91,7694016.39,-240.00
517303.12,7694039.86,-240.00
517313.69,7694080.10,-240.00
517316.29,7694089.86,-240.00
517323.45,7694117.54,-240.00
517329.17,7694139.86,-240.00
517331.04,7694147.46,-240.00
517341.72,7694189.86,-240.00
517347.54,7694213.95,-240.00
517353.92,7694239.86,-240.00
517363.30,7694279.72,-240.00
517365.74,7694289.86,-240.00
517373.45,7694323.56,-240.00
517377.14,7694339.86,-240.00
517378.15,7694344.56,-240.00
517388.07,7694389.86,-240.00
517394.26,7694419.04,-240.00
517398.50,7694439.86,-240.00
517402.70,7694460.60,-240.00
517408.38,7694489.86,-240.00
517410.80,7694502.50,-240.00
517417.65,7694539.86,-240.00
517418.53,7694544.77,-240.00
517423.45,7694573.40,-240.00
517425.87,7694587.43,-240.00
517426.27,7694589.86,-240.00
517432.76,7694630.55,-240.00
517434.17,7694639.86,-240.00
517439.14,7694674.16,-240.00
517441.30,7694689.86,-240.00
517444.98,7694718.33,-240.00
517447.60,7694739.86,-240.00
517450.20,7694763.10,-240.00
517453.02,7694789.86,-240.00
517454.76,7694808.54,-240.00
517457.49,7694839.86,-240.00
517458.58,7694854.72,-240.00
517460.97,7694889.86,-240.00
517461.60,7694901.71,-240.00
517463.42,7694939.86,-240.00
517463.72,7694949.58,-240.00
517464.79,7694989.86,-240.00
517464.87,7694998.43,-240.00
517465.08,7695039.86,-240.00
517464.98,7695048.33,-240.00
517464.30,7695089.86,-240.00
517463.98,7695099.32,-240.00
517462.50,7695139.86,-240.00
517461.90,7695151.40,-240.00
517459.80,7695189.86,-240.00
517458.82,7695204.48,-240.00
517456.37,7695239.86,-240.00
517454.93,7695258.38,-240.00
517452.40,7695289.86,-240.00
517450.42,7695312.88,-240.00
517448.04,7695339.86,-240.00
517445.93,7695362.34,-240.00
517443.42,7695389.86,-240.00
517441.63,7695408.04,-240.00
517438.60,7695439.86,-240.00
517437.19,7695453.60,-240.00
517433.59,7695489.86,-240.00
517432.61,7695499.02,-240.00
517428.39,7695539.86,-240.00
